"index","ID","name","category","main_category","currency","deadline","goal","launched","pledged","state","backers","country","usd pledged","usd_pledged_real","usd_goal_real"
0,1000002330,"The Songs of Adelaide & Abullah","Poetry","Publishing","GBP","2015-10-09",1000,"2015-08-11 12:12:28",0,"failed",0,"GB",0,0,1533.95
1,1000003930,"Greeting From Earth: ZGAC Arts Capsule For ET","Narrative Film","Film & Video","USD","2017-11-01",30000,"2017-09-02 04:43:57",2421,"failed",15,"US",100,2421,30000
2,1000004038,"Where is Hank?","Narrative Film","Film & Video","USD","2013-02-26",45000,"2013-01-12 00:20:50",220,"failed",3,"US",220,220,45000
3,1000007540,"ToshiCapital Rekordz Needs Help to Complete Album","Music","Music","USD","2012-04-16",5000,"2012-03-17 03:24:11",1,"failed",1,"US",1,1,5000
4,1000011046,"Community Film Project: The Art of Neighborhood Filmmaking","Film & Video","Film & Video","USD","2015-08-29",19500,"2015-07-04 08:35:03",1283,"canceled",14,"US",1283,1283,19500
5,1000014025,"Monarch Espresso Bar","Restaurants","Food","USD","2016-04-01",50000,"2016-02-26 13:38:27",52375,"successful",224,"US",52375,52375,50000
6,1000023410,"Support Solar Roasted Coffee & Green Energy!  SolarCoffee.co","Food","Food","USD","2014-12-21",1000,"2014-12-01 18:30:44",1205,"successful",16,"US",1205,1205,1000
7,1000030581,"Chaser Strips. Our Strips make Shots their B*tch!","Drinks","Food","USD","2016-03-17",25000,"2016-02-01 20:05:12",453,"failed",40,"US",453,453,25000
8,1000034518,"SPIN - Premium Retractable In-Ear Headphones with Mic","Product Design","Design","USD","2014-05-29",125000,"2014-04-24 18:14:43",8233,"canceled",58,"US",8233,8233,125000
9,100004195,"STUDIO IN THE SKY - A Documentary Feature Film (Canceled)","Documentary","Film & Video","USD","2014-08-10",65000,"2014-07-11 21:55:48",6240.57,"canceled",43,"US",6240.57,6240.57,65000
10,100004721,"Of Jesus and Madmen","Nonfiction","Publishing","CAD","2013-10-09",2500,"2013-09-09 18:19:37",0,"failed",0,"CA",0,0,2406.39
11,100005484,"Lisa Lim New CD!","Indie Rock","Music","USD","2013-04-08",12500,"2013-03-09 06:42:58",12700,"successful",100,"US",12700,12700,12500
12,1000055792,"The Cottage Market","Crafts","Crafts","USD","2014-10-02",5000,"2014-09-02 17:11:50",0,"failed",0,"US",0,0,5000
13,1000056157,"G-Spot Place for Gamers to connect with eachother & go pro!","Games","Games","USD","2016-03-25",200000,"2016-02-09 23:01:12",0,"failed",0,"US",0,0,200000
14,1000057089,"Tombstone: Old West tabletop game and miniatures in 32mm.","Tabletop Games","Games","GBP","2017-05-03",5000,"2017-04-05 19:44:18",94175,"successful",761,"GB",57763.78,121857.33,6469.73
15,1000064368,"Survival Rings","Design","Design","USD","2015-02-28",2500,"2015-01-29 02:10:53",664,"failed",11,"US",664,664,2500
16,1000064918,"The Beard","Comic Books","Comics","USD","2014-11-08",1500,"2014-10-09 22:27:52",395,"failed",16,"US",395,395,1500
17,1000068480,"Notes From London: Above & Below","Art Books","Publishing","USD","2015-05-10",3000,"2015-04-10 21:20:54",789,"failed",20,"US",789,789,3000
18,1000070642,"Mike Corey's Darkness & Light Album","Music","Music","USD","2012-08-17",250,"2012-08-02 14:11:32",250,"successful",7,"US",250,250,250
19,1000071625,"Boco Tea","Food","Food","USD","2012-06-02",5000,"2012-05-03 17:24:32",1781,"failed",40,"US",1781,1781,5000
20,1000072011,"CMUK. Shoes: Take on Life Feet First.","Fashion","Fashion","USD","2013-12-30",20000,"2013-11-25 07:06:11",34268,"successful",624,"US",34268,34268,20000
21,1000081649,"MikeyJ clothing brand fundraiser","Childrenswear","Fashion","AUD","2017-09-07",2500,"2017-08-08 01:20:20",1,"failed",1,"AU",0,0.81,2026.1
22,1000082254,"Alice in Wonderland in G Minor","Theater","Theater","USD","2014-06-15",3500,"2014-05-16 10:10:38",650,"failed",12,"US",650,650,3500
23,1000087442,"Mountain brew: A quest for alcohol sustainability","Drinks","Food","NOK","2015-02-25",500,"2015-01-26 19:17:33",48,"failed",3,"NO",6.18,6.29,65.55
24,1000091520,"The Book Zoo - A Mini-Comic","Comics","Comics","USD","2014-11-12",175,"2014-10-23 17:15:50",701.66,"successful",66,"US",701.66,701.66,175
25,1000102741,"Matt Cavenaugh & Jenny Powers make their 1st album! ","Music","Music","USD","2011-01-06",10000,"2010-12-07 23:16:50",15827,"successful",147,"US",15827,15827,10000
26,1000103948,"Superhero Teddy Bear","DIY","Crafts","GBP","2016-01-05",12000,"2015-12-06 20:09:06",0,"failed",0,"GB",0,0,17489.65
27,1000104688,"Permaculture Skills","Webseries","Film & Video","CAD","2014-12-14",17757,"2014-11-14 18:02:00",48905,"successful",571,"CA",43203.25,42174.03,15313.04
28,1000104953,"Rebel Army Origins: The Heroic Story Of Major Gripes","Comics","Comics","GBP","2016-01-28",100,"2015-12-29 16:59:29",112.38,"successful",27,"GB",167.7,160.6,142.91
29,100011318,"My Moon - Animated Short Film","Animation","Film & Video","USD","2017-05-03",50000,"2017-04-03 17:11:33",57577.31,"successful",840,"US",10120,57577.31,50000
30,1000115172,"Daily Brew Coffee","Food Trucks","Food","GBP","2015-03-31",3500,"2015-03-01 18:06:32",21,"failed",1,"GB",32.42,31.09,5181.12
31,1000117861,"Ledr workbook: one tough journal!","Product Design","Design","USD","2016-10-08",1000,"2016-09-07 13:14:26",47266,"successful",549,"US",11253,47266,1000
32,1000120151,"Feather Cast Furled Fly Fishing Leaders","Product Design","Design","AUD","2015-08-22",2000,"2015-07-23 03:09:43",2000,"successful",18,"AU",1473.62,1427.35,1427.35
33,1000120287,"BB130A","Public Art","Art","USD","2013-03-24",25000,"2013-02-12 01:07:28",1395,"failed",30,"US",1395,1395,25000
34,100012079,"Chris Eger Band - New Nashville Record!","Music","Music","USD","2014-08-13",12000,"2014-07-14 22:35:51",13260,"successful",92,"US",13260,13260,12000
35,1000129669,"Squatch Watchers","Webseries","Film & Video","USD","2013-08-23",10000,"2013-07-24 21:40:13",1373.37,"failed",54,"US",1373.37,1373.37,10000
36,1000131947,"Arrows & Sound Debut Album","Indie Rock","Music","USD","2012-05-19",4000,"2012-04-19 01:04:31",8641.34,"successful",157,"US",8641.34,8641.34,4000
37,1000132945,"Zen in America: a film on Zen Buddhism in North America","Documentary","Film & Video","USD","2013-10-21",10000,"2013-09-21 23:00:54",15663,"successful",213,"US",15663,15663,10000
38,1000134913,"Galaxy: Winnie and Friends","Illustration","Art","USD","2016-01-27",3000,"2015-12-23 21:47:29",17,"failed",2,"US",17,17,3000
39,1000146991,"Help Scott Reynolds Make a New Record!","Indie Rock","Music","USD","2012-09-02",15000,"2012-08-03 18:43:16",17499.99,"successful",277,"US",17499.99,17499.99,15000
40,1000149007,"Unschooling To University Book Project","Nonfiction","Publishing","CAD","2018-01-19",3000,"2017-11-20 18:15:14",592,"live",24,"CA",185.65,472.88,2396.36
41,1000153208,"Phil Younger - Slow Down (Official Music Video)","Music","Music","USD","2016-12-20",2100,"2016-12-09 20:27:02",2100,"successful",34,"US",83,2100,2100
42,1000160286,"""THE RETURN"" book project","Photography","Photography","USD","2013-12-13",15000,"2013-11-13 00:34:20",23907,"successful",232,"US",23907,23907,15000
